PLOT ID,X,Y
154,599212,5734275
156,599725,5734275
160,600730,5734277
162,601221,5734285
164,601720,5734282
166,602230,5734278
168,602727,5734283
218,598222,5733783
220,598718,5733785
222,599222,5733782
224,599720,5733778
226,600218,5733778
228,600723,5733788
232,601722,5733779
234,602228,5733764
236,602733,5733791
286,598219,5733303
290,599221,5733284
292,599726,5733280
298,601219,5733276
300,601720,5733278
370,597717,5732780
372,598235,5732786
374,598735,5732770
376,599223,5732786
378,599725,5732781
380,600224,5732780
384,601212,5732778
386,601716,5732779
388,602225,5732778
474,597724,5732286
476,598220,5732275
480,599218,5732279
482,599713,5732285
486,600722,5732286
488,601222,5732289
492,602224,5732284
494,602724,5732273
579,598726,5731790
581,599214,5731780
595,591971,5731530
600,593223,5731530
656,591722,5731023
658,592227,5731031
664,593723,5731035
666,594223,5731035
695,591224,5730537
697,591731,5730529
699,592222,5730535
702,593232,5730529
715,592226,5730039
1052,597224,5733274
1084,597724,5733774
1086,597224,5733774
1088,596724,5733774
1139,597724,5734274
1141,597224,5734274
1143,596724,5734274
1145,596224,5734274
