PLOT_ID,NDVI,SummaryQA,DayOfYear,yr
154,0.2916,1.0,14.0,2002.0
156,0.27890000000000004,1.0,5.0,2002.0
160,0.2459,1.0,14.0,2002.0
162,0.2664,1.0,5.0,2002.0
164,0.2566,1.0,14.0,2002.0
166,0.17880000000000001,3.0,6.0,2002.0
168,0.2046,1.0,5.0,2002.0
218,0.562,1.0,14.0,2002.0
220,0.2462,1.0,14.0,2002.0
222,0.26930000000000004,1.0,5.0,2002.0
224,0.2399,1.0,14.0,2002.0
226,0.1389,3.0,2.0,2002.0
228,0.3079,1.0,5.0,2002.0
232,0.2788,1.0,14.0,2002.0
234,0.2253,1.0,14.0,2002.0
236,0.2318,1.0,5.0,2002.0
286,0.6154000000000001,1.0,5.0,2002.0
290,0.271,1.0,5.0,2002.0
292,0.2722,1.0,5.0,2002.0
298,0.24180000000000001,1.0,14.0,2002.0
300,0.2838,3.0,13.0,2002.0
370,0.22060000000000002,1.0,5.0,2002.0
372,0.24100000000000002,1.0,5.0,2002.0
374,0.2665,1.0,5.0,2002.0
376,0.26,1.0,5.0,2002.0
378,0.2174,1.0,14.0,2002.0
380,0.23970000000000002,3.0,13.0,2002.0
384,0.2702,1.0,5.0,2002.0
386,0.2883,1.0,5.0,2002.0
388,0.25,1.0,5.0,2002.0
474,0.3466,1.0,14.0,2002.0
476,0.25830000000000003,1.0,5.0,2002.0
480,0.2175,1.0,5.0,2002.0
482,0.31,1.0,5.0,2002.0
486,0.1531,1.0,5.0,2002.0
488,0.1524,1.0,5.0,2002.0
492,0.2842,1.0,5.0,2002.0
494,0.216,1.0,4.0,2002.0
579,0.2642,1.0,5.0,2002.0
581,0.1904,1.0,5.0,2002.0
595,0.4506,1.0,14.0,2002.0
600,0.5164,1.0,14.0,2002.0
656,0.3801,1.0,14.0,2002.0
658,0.4645,1.0,5.0,2002.0
664,0.5417000000000001,1.0,5.0,2002.0
666,0.5011,1.0,5.0,2002.0
695,-0.1472,3.0,6.0,2002.0
699,0.21910000000000002,3.0,10.0,2002.0
702,0.4428,1.0,5.0,2002.0
715,0.049300000000000004,3.0,13.0,2002.0
1052,0.5179,1.0,14.0,2002.0
1084,0.6291,1.0,14.0,2002.0
1086,0.5832,3.0,4.0,2002.0
1088,0.6501,1.0,5.0,2002.0
1139,0.5737,1.0,14.0,2002.0
1141,0.4718,3.0,4.0,2002.0
1143,0.4666,3.0,4.0,2002.0
1145,0.9097000000000001,1.0,5.0,2002.0
154,-0.019700000000000002,2.0,26.0,2002.0
156,-0.020200000000000003,2.0,26.0,2002.0
160,-0.0017000000000000001,2.0,29.0,2002.0
162,-0.006900000000000001,3.0,29.0,2002.0
164,0.09230000000000001,2.0,28.0,2002.0
